video_title,channel,link
Charonne - Astro Speed Kawasaki (Akufen Remix Immortalise) [Automatic Writing – ATWT003],Do Funkk,https://www.youtube.com/watch?v=zsUoK_c_M1Y&list=LL4qfihPte8I5oE-bua9Px3w&index=132&t=0s
Closer Musik - One Two Three (No Gravity) 'Kompakt Total 2' Album,KOMPAKT,https://www.youtube.com/watch?v=e4ykLTuSsFo&list=LL4qfihPte8I5oE-bua9Px3w&index=133&t=0s
Gebrüder Teichmann - Aus Der Ferne 'Kompakt Total 2' Album,KOMPAKT,https://www.youtube.com/watch?v=GRUyqMSosYc&list=LL4qfihPte8I5oE-bua9Px3w&index=134&t=0s
Salz - Salz 2.1 'Kompakt Total 1' Album,KOMPAKT,https://www.youtube.com/watch?v=AWKW862VY2I&list=LL4qfihPte8I5oE-bua9Px3w&index=135&t=0s
Jürgen Paape - How Great Thou Art 'Kompakt Total 1' Album,KOMPAKT,https://www.youtube.com/watch?v=Ut3XIa1E72I&list=LL4qfihPte8I5oE-bua9Px3w&index=136&t=0s
A Deeper Cut - Feel It Compact mix,Andy Allder,https://www.youtube.com/watch?v=Y9XAWHKVDNo&list=LL4qfihPte8I5oE-bua9Px3w&index=137&t=0s
A Deeper Cut - Feel It Club Mix,Andy Allder,https://www.youtube.com/watch?v=8ITyo35jNzI&list=LL4qfihPte8I5oE-bua9Px3w&index=138&t=0s
Leo Pol – F.E.M.,IILE,https://www.youtube.com/watch?v=KxVAQKapUHE&list=LL4qfihPte8I5oE-bua9Px3w&index=139&t=0s
Ultra Naté - Free (Mood II Swing Vocal Mix),houseclassics808,https://www.youtube.com/watch?v=gxj2Hk9toG4&list=LL4qfihPte8I5oE-bua9Px3w&index=140&t=0s
New Order - Everything's Gone Green,Spotnick,https://www.youtube.com/watch?v=lRgHSxWnhqk&list=LL4qfihPte8I5oE-bua9Px3w&index=141&t=0s
Sugar - Heart Less [EUROMANTIC003],HATE,https://www.youtube.com/watch?v=p3Murc_Qx78&list=LL4qfihPte8I5oE-bua9Px3w&index=142&t=0s
Markus Sommer - Offenbach Heat [IMP009],CMYK,https://www.youtube.com/watch?v=I2bIE72t2IQ&list=LL4qfihPte8I5oE-bua9Px3w&index=143&t=0s
KOKOROKO - Adwa,Brownswood Recordings,https://www.youtube.com/watch?v=a0Goiw94xhg&list=LL4qfihPte8I5oE-bua9Px3w&index=144&t=0s
Gene On Earth - Turbo Island [LD004],CMYK,https://www.youtube.com/watch?v=n1Nhr4SR5us&list=LL4qfihPte8I5oE-bua9Px3w&index=145&t=0s
Matti Turunen - Rheintochter Designs,glumc,https://www.youtube.com/watch?v=s5slRKffNgE&list=LL4qfihPte8I5oE-bua9Px3w&index=146&t=0s
Matti Turunen - Cryosleep,Covert Operative,https://www.youtube.com/watch?v=8OfYJ2cQL48&list=LL4qfihPte8I5oE-bua9Px3w&index=147&t=0s
Matti Turunen - Travel Naskh E123 EP PUU-46,Sähkö Recordings,https://www.youtube.com/watch?v=OQ-NmqvxGto&list=LL4qfihPte8I5oE-bua9Px3w&index=148&t=0s
Matti Turunen -- Forbidden Capital,ballacid,https://www.youtube.com/watch?v=gBuPw8N0XWs&list=LL4qfihPte8I5oE-bua9Px3w&index=149&t=0s
Matti Turunen - Things You Do,ritammashina,https://www.youtube.com/watch?v=4Ya3DiH0uns&list=LL4qfihPte8I5oE-bua9Px3w&index=150&t=0s
Matti Turunen -- Fargon,ballacid,https://www.youtube.com/watch?v=ghSK4tosJns&list=LL4qfihPte8I5oE-bua9Px3w&index=151&t=0s
Matti Turunen - Cryosleep,zrizolina,https://www.youtube.com/watch?v=pJ-4PAIjE44&list=LL4qfihPte8I5oE-bua9Px3w&index=152&t=0s
Quarry - Remotion,Joris Ruman,https://www.youtube.com/watch?v=vdWnhP69CLg&list=LL4qfihPte8I5oE-bua9Px3w&index=153&t=0s
Vikter Duplaix - Sensuality (Instrumental) [DJ-Kicks],!K7 Records,https://www.youtube.com/watch?v=jZUGOMoOrH8&list=LL4qfihPte8I5oE-bua9Px3w&index=154&t=0s
Dennis DeSantis – On The Gripping Hand,Kerouac&SMILE Music,https://www.youtube.com/watch?v=qHz5NWaPjes&list=LL4qfihPte8I5oE-bua9Px3w&index=155&t=0s
Geoff White - Sexport Audio,Atro,https://www.youtube.com/watch?v=Ca5MqU544oI&list=LL4qfihPte8I5oE-bua9Px3w&index=156&t=0s
Dennis DeSantis - Sugar,Ravier 2000,https://www.youtube.com/watch?v=rjp2o1qnMBc&list=LL4qfihPte8I5oE-bua9Px3w&index=157&t=0s
SDEM - 6448 [Audio] (4 of 4),CPU Records,https://www.youtube.com/watch?v=OXzPDU9n4Wo&list=LL4qfihPte8I5oE-bua9Px3w&index=158&t=0s
Seb Wildblood - Bad Space Habits (Official Audio),Seb Wildblood,https://www.youtube.com/watch?v=TdZah_MFKQo&list=LL4qfihPte8I5oE-bua9Px3w&index=159&t=0s
The Visions Of Shiva - How Much Can You Take 1993,Deejaysark90,https://www.youtube.com/watch?v=Jr7kapv_9ig&list=LL4qfihPte8I5oE-bua9Px3w&index=160&t=0s
PJ - Elysian Fields (1995),2trancentral,https://www.youtube.com/watch?v=LInCH-K3yQk&list=LL4qfihPte8I5oE-bua9Px3w&index=161&t=0s
